start_s,end_s,duration_s,avg_hz,avg_midi,note
0.8823582766439909,1.811156462585034,0.9287981859410431,79.5615454279026,39.391676173899036,D#2
3.5062131519274375,3.9938321995464854,0.48761904761904784,99.12585181547621,43.197956876453944,G2
4.040272108843538,4.4117913832199545,0.37151927437641685,99.2227847593589,43.21487795331974,G2
5.433469387755102,6.199727891156463,0.7662585034013603,110.11255977950196,45.01770615361619,A2
6.548027210884354,7.314285714285714,0.7662585034013603,74.33288165045168,38.21482703017998,D2
8.614603174603175,9.148662131519274,0.5340589569160983,110.7840998523227,45.12296773818663,A2
9.241541950113378,10.100680272108843,0.8591383219954647,110.52298108918754,45.08211428682449,A2
10.263219954648527,10.913378684807256,0.6501587301587293,104.91405446828227,44.180453196428054,G#2
11.075918367346938,11.865396825396825,0.7894784580498868,124.60756801936786,47.158658029318985,B2
12.097596371882085,12.979954648526077,0.8823582766439912,79.0010944031625,39.26929224556284,D#2
13.049614512471654,13.328253968253968,0.2786394557823133,166.064007994185,52.13083079822022,E3
13.374693877551021,14.001632653061224,0.6269387755102027,197.25582863660298,55.11077288111333,G3
14.094512471655328,14.373151927437641,0.2786394557823133,197.13312122062956,55.1,G3
14.466031746031746,14.814331065759637,0.3482993197278912,99.00871456939575,43.177486746869285,G2
14.907210884353741,15.232290249433106,0.32507936507936463,98.56656061031478,43.1,G2
15.27873015873016,16.23074829931973,0.9520181405895691,98.71634058725856,43.12628755398476,G2
16.253968253968253,16.46294784580499,0.2089795918367372,83.3644111580719,40.2,E2
17.322086167800453,17.623945578231293,0.30185941043083986,98.04057686817849,43.00736825246575,G2
17.972244897959182,19.760181405895693,1.7879365079365108,109.49911865928308,44.92098880924708,A2
19.783401360544218,20.201360544217685,0.4179591836734673,97.99885899543732,43.0,G2
20.712199546485262,21.269478458049885,0.5572789115646231,111.48739126292209,45.23252439735201,A2
21.36235827664399,22.244716553287983,0.8823582766439912,112.2617372875475,45.352353204223874,A2
23.289614512471655,24.102312925170068,0.8126984126984134,145.82696017542528,49.88104731523619,D3
24.288072562358277,25.33297052154195,1.0448979591836718,79.33071129220136,39.34137439018639,D#2
25.44907029478458,25.86702947845805,0.41795918367347085,284.8148456629692,61.470249881023825,C#4
26.261768707482993,26.493968253968255,0.23219954648526198,163.9984212610798,51.91414083582056,E3
26.540408163265305,27.00480725623583,0.46439909297052395,110.06722126614238,45.01057638186341,A2
27.724625850340136,28.003265306122447,0.27863945578231153,128.14246488161191,47.64294147673246,C3
28.398004535147393,28.63020408163265,0.23219954648525842,292.7444136411806,61.94565740037537,D4
28.83918367346939,29.489342403628118,0.6501587301587293,159.64598731354084,51.448473211360664,D#3
29.58222222222222,30.766439909297052,1.184217687074831,73.94091095229652,38.12329438806707,D2
30.95219954648526,31.207619047619048,0.25541950113378675,292.4425942591268,61.92779917624673,D4
31.230839002267572,31.43981859410431,0.2089795918367372,320.91092944305916,63.53603281654365,E4
31.811337868480727,32.64725623582766,0.8359183673469346,183.4792909012861,53.85736455792363,F#3
32.69369614512472,33.80825396825397,1.1145578231292532,108.20184633949968,44.71465912258713,A2
34.29587301587301,34.59773242630386,0.3018594104308434,187.97536671066104,54.276481105527196,F#3
34.66739229024943,34.87637188208617,0.2089795918367372,82.29110873066047,39.97565930671997,E2
34.9924716553288,35.294331065759636,0.3018594104308363,249.09721384545372,59.15046433634675,B3
35.43365079365079,36.73396825396826,1.3003174603174656,80.41313086266906,39.575993799722006,E2
